gen_fantasy,gen_thriller,gen_animation,gen_family,gen_horror,gen_sports,gen_fanstasy,gen_holiday,gen_documentary,gen_period,gen_romance,gen_biography,gen_suspense,gen_history,gen_mystery,gen_musical,gen_crime,gen_sci-fi,gen_comedy,gen_action,gen_western,gen_war,gen_horror/mystery,gen_adventure,gen_drama,st_sequel,st_semi-sequel,st_remake,st_original screenplay,st_documentary,st_reboot,st_based on a true story,st_adaptation,st_prequel,film,year,rotten_tomatoes_critics,metacritic_critics,average_critics,rotten_tomatoes_audience,metacritic_audience,rotten_tomatoes_vs_metacritic_deviance,average_audience,audience_vs_critics_deviance,opening_weekend,opening_weekend_($million),domestic_gross,domestic_gross_($million),foreign_gross_($million),foreign_gross,worldwide_gross,worldwide_gross_($million),of_gross_earned_abroad,budget_($million),budget_recovered,budget_recovered_opening_weekend,distributor,imdb_rating,imdb_vs_rt_disparity,release_date_(us),oscar_winners,oscar_detail,PC1,PC2,kmeans_pca,kmeans,kmeans_audience,dbscan,agg
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hitman,2007,15.0,35.0,25.0,57.0,65.0,-8.0,61.0,-36.0,13180769.0,13.18,39687694.0,39.69,60.28,60276289.0,99963983.0,100.0,0.6028,24.0,416.52,54.92,,,,"Nov 21, 2007",0,,-1.5168277564446204,-1.7440363961993401,0,1,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hostel Part II,2007,45.0,46.0,46.0,39.0,50.0,-11.0,45.0,1.0,8203391.0,8.2,17609452.0,17.61,18.01,18010069.0,35619521.0,36.0,0.1801,10.0,356.2,82.03,,,,"Jun 8, 2007",0,,-2.172907214557481,-0.7915658191338443,0,3,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I Am Legend,2007,69.0,65.0,67.0,68.0,71.0,-3.0,70.0,-3.0,77211321.0,77.21,256393010.0,256.39,327.76,327762415.0,584155425.0,584.0,3.2776,150.0,389.44,51.47,,,,"Dec 14, 2007",0,,4.814568427534442,-0.12068594087532108,3,2,3,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I Now Pronounce You Chuck and Larry,2007,13.0,37.0,25.0,69.0,53.0,16.0,61.0,-36.0,34233750.0,34.23,120059556.0,120.06,65.99,65994618.0,186054174.0,186.0,0.6598999999999999,85.0,218.89,40.28,,,,"Jul 20, 2007",0,,0.36241193141396844,-1.9498077418014863,0,1,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,In the Land of Women,2007,43.0,47.0,45.0,52.0,53.0,-1.0,53.0,-8.0,4712341.0,4.71,11052958.0,11.05,6.51,6509113.0,17562071.0,18.0,0.06509999999999999,10.0,175.62,47.12,,,,"Apr 20, 2007",0,,-2.1654858301712254,-0.532986698961434,0,3,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Into the Wild,2007,82.0,73.0,78.0,89.0,82.0,7.0,86.0,-8.0,212440.0,0.21,18354356.0,18.35,37.28,37280210.0,55634566.0,56.0,0.3728,15.0,370.9,1.42,,,,"Oct 19, 2007",0,,-1.032040627712802,2.317191055239413,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Juno,2007,94.0,81.0,88.0,88.0,83.0,5.0,86.0,2.0,413869.0,0.41,143495265.0,143.5,87.69,87688908.0,231184173.0,231.0,0.8769,8.0,3082.46,5.52,,,,"Dec 25, 2007",1,Best Original Screenplay,0.8428329697171978,3.6868552009528055,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Knocked Up,2007,91.0,85.0,88.0,83.0,67.0,16.0,75.0,13.0,30690990.0,30.69,148768917.0,148.77,70.23,70232344.0,219001261.0,219.0,0.7023,33.0,663.64,93.0,,,,"Jun 1, 2007",0,,1.338712526902322,2.3803519135128477,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,License to Wed,2007,8.0,25.0,17.0,53.0,46.0,7.0,50.0,-33.0,10422258.0,10.42,43799818.0,43.8,25.51,25507406.0,69307224.0,69.0,0.2551,35.0,198.02,29.78,,,,"Jul 3, 2007",0,,-1.800805401981337,-2.4652996127389053,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lions for Lambs,2007,27.0,47.0,37.0,47.0,51.0,-4.0,49.0,-12.0,6702434.0,6.7,15000115.0,15.0,48.21,48209103.0,63209218.0,63.0,0.48210000000000003,35.0,180.6,19.15,,,,"Nov 9, 2007",0,,-1.92265013927448,-1.163918682330696,0,3,1,0,0
